id,opened,closed,status,reason,type,location,neighborhood,zip,latitude,longitude
1.01E+11,10/3/13 7:05,10/4/13 10:43,Closed,General Request,General Request,600 Columbus Ave  Roxbury  MA  02118,Roxbury,2118,42.339965,-71.082165
1.01E+11,10/2/13 20:57,10/4/13 13:29,Closed,Street Lights,Street Light Outages,140 Crawford St  Dorchester  MA  02121,Roxbury,2121,42.31546,-71.09214
1.01E+11,10/2/13 20:35,10/7/13 11:24,Closed,General Request,General Request,INTERSECTION of Fairland St & Winthrop St  Roxbury  MA  ,Roxbury,,42.35283,-71.15664
1.01E+11,10/2/13 20:05,,Open,General Request,General Request,INTERSECTION of Warwick St & Windsor St  Mission Hill  MA  ,Roxbury,,42.35226,-71.17076
1.01E+11,10/2/13 15:47,,Open,General Request,General Request,INTERSECTION of Batchelder St & E Cottage St  Dorchester  MA  ,Roxbury,,42.2803,-71.05912
1.01E+11,10/2/13 10:58,,Open,General Request,General Request,41 Woodville St  Roxbury  MA  02119,Roxbury,2119,42.321605,-71.076946
1.01E+11,10/1/13 14:51,10/1/13 19:58,Closed,General Request,General Request,INTERSECTION of Columbus Ave & Melnea Cass Blvd  Mission Hill  MA  ,Roxbury,,42.31671,-71.10268
1.01E+11,10/1/13 14:05,10/2/13 13:11,Closed,Graffiti,Graffiti Removal,544P Massachusetts Ave  Roxbury  MA  02118,Roxbury,2118,42.3594,-71.0587
1.01E+11,10/1/13 12:09,10/1/13 12:10,Closed,General Request,General Request,75 W Newton St  Roxbury  MA  02118,Roxbury,2118,42.340731,-71.075324
1.01E+11,10/1/13 9:24,10/1/13 13:22,Closed,General Request,General Request,INTERSECTION of Marcella St & Centre Street Ter  Roxbury  MA  ,Roxbury,,42.353067,-71.062842
1.01E+11,10/1/13 8:49,10/1/13 9:15,Closed,General Request,General Request,280 Highland St  Roxbury  MA  02119,Roxbury,2119,42.323314,-71.097045
1.01E+11,10/1/13 7:34,10/2/13 4:11,Closed,General Request,General Request,INTERSECTION of New Heath St & Newark St  Roxbury  MA  ,Roxbury,,42.28421,-71.0668
1.01E+11,9/30/13 23:11,9/30/13 23:28,Closed,Street Lights,Street Light Outages,INTERSECTION of Massachusetts Ave & Southampton St  Roxbury  MA  ,Roxbury,,42.353067,-71.062842
1.01E+11,9/30/13 15:13,10/2/13 8:32,Closed,Signs & Signals,Sign Repair,INTERSECTION of Washington St & Massachusetts Ave  Roxbury  MA  ,Roxbury,,42.363289,-71.050254
1.01E+11,9/30/13 10:05,10/1/13 12:34,Closed,Signs & Signals,Sign Repair,2767 Washington St  Roxbury  MA  02119,Roxbury,2119,42.32241,-71.091386
1.01E+11,9/30/13 9:35,10/7/13 13:12,Closed,General Request,General Request,1535 Washington St  Roxbury  MA  02118,Roxbury,2118,42.339656,-71.073555
